date,runoff,soilstore,snowpack,meltwater,T,P,PET
1993-08-05,0.8293673716446747,423.9614524430056,0.0,0.0,16.293262487407674,0.0,3.1169815457676298
1993-08-06,0.8234855185024044,422.7964575593325,0.0,0.0,16.006813903434704,1.3918871191330746,3.054702513416508
1993-08-07,0.8185195400462669,421.1902736989848,0.0,0.0,14.30954236718634,0.0,2.788892716622704
1993-08-08,0.8081161286420313,419.372733730536,0.0,0.0,17.086582232053843,0.0,3.1679150460495142
1993-08-09,0.8001071883045316,417.7539593841145,0.0,0.0,18.580378048902844,0.686404156607589,3.3582633326149502
1993-08-10,0.7991060189795144,416.861176185112,0.0,0.0,16.850360132070705,1.971182714450656,3.0894063942440173
1993-08-11,0.8312530988844297,420.1204388131246,0.0,0.0,12.334560622031065,10.533375345363131,2.4328476141272493
1993-08-12,0.8835900282808351,421.8799363936093,0.0,0.0,9.24167373613426,6.6338648950628025,1.9837255004344012
1993-08-13,0.9227802152669846,423.8495675437732,0.0,0.0,10.277679817201545,7.336844535768213,2.1116840667787167
1993-08-14,0.9476896455757516,423.5963818436688,0.0,0.0,10.884297773593405,2.3300011649758683,2.178325323683409
1993-08-15,0.9686155091749422,425.41078544395896,0.0,0.0,10.983528751854124,7.11321631482464,2.174414898276237
1993-08-16,1.0175895697470818,428.522676849092,0.0,0.0,9.514998509113354,9.89734234479952,1.958543735546569
1993-08-17,1.0680463878089572,430.45086135864966,0.0,0.0,9.15456179404913,7.140999990346448,1.8940454236711255
1993-08-18,1.0935064531135144,430.6662006077879,0.0,0.0,9.038991398160192,3.096908369829966,1.8626804308146436
1993-08-19,1.0950189682474505,430.0663310296472,0.0,0.0,7.64859146537259,0.8912989086492146,1.6637326325027255
1993-08-20,1.0846033647611908,428.8079679851048,0.0,0.0,11.475098659455568,0.0,2.1480204018406868
1993-08-21,1.0707274658771715,427.2322239372965,0.0,0.0,15.8776499239857,0.0,2.69768178147318
1993-08-22,1.057023243182068,425.4042121010395,0.0,0.0,19.532719666619077,0.0,3.141108166653022
1993-08-23,1.0568967761607633,425.5107305130226,0.0,0.0,16.825092338488957,3.991421130936101,2.768537221840884
1993-08-24,1.0722468857049623,425.4923482344226,0.0,0.0,18.096347655831263,3.883708662422703,2.9021729850230717
1993-08-25,1.08244475643034,425.07320548319154,0.0,0.0,15.845324317573386,2.5301634111592097,2.594195001216082
1993-08-26,1.0902986853147896,424.9425663464028,0.0,0.0,17.726231392410966,3.475087937925464,2.8006785324358927
1993-08-27,1.0908493548200735,423.9013512468409,0.0,0.0,11.06888728106793,0.2179823045055194,1.9606093073989352
1993-08-28,1.0874345036313366,424.0237458595797,0.0,0.0,11.136297679786708,2.893930847106226,1.948972688075859
1993-08-29,1.2505872681999295,431.31957545440656,0.0,0.0,9.54379961247622,19.25192605008993,1.7386139798244344
1993-08-30,1.3933802309939811,430.1285256980401,0.0,0.0,12.136551577810051,0.0,2.02720946809187
1993-08-31,1.2978065169735693,428.9139968123552,0.0,0.0,12.710313810312073,0.0,2.0728959029639
1993-09-01,1.210548145769735,427.72371974074656,0.0,0.0,12.595137392441131,0.0,2.037256627678945
1993-09-02,1.15955400643133,426.4662277466649,0.0,0.0,13.846443199010992,0.0,2.15828992828139
1993-09-03,1.144640431768016,425.2652878991551,0.0,0.0,13.25457239808361,0.0,2.0673047416979955
1993-09-04,1.1299575996661964,424.0295335827813,0.0,0.0,14.051534875377117,0.0,2.133241831857588
1993-09-05,1.1195414421435768,423.1939297380594,0.0,0.0,16.28111677515949,1.2188064033951231,2.355626068496026
1993-09-06,1.109997817983586,422.1393622748549,0.0,0.0,11.721099660457526,0.0,1.8293753741873795
1993-09-07,1.0965219224510403,421.0346452757457,0.0,0.0,14.3609957533493,0.2282341523968389,2.093223985707983
1993-09-08,1.2759786947691685,428.8577874780983,0.0,0.0,17.54788788790836,21.167321047433827,2.408616179228968
1993-09-09,1.4950671816777326,428.9828767188728,0.0,0.0,10.5669015828816,2.555158122044497,1.6427106924977757
1993-09-10,1.4471724116312212,428.1873371856162,0.0,0.0,8.062021749379198,0.0,1.361412391888185
